q_threshold,n_features_full,n_features_pruned,n_sig_full,n_sig_pruned,sig_overlap,sig_only_full,sig_only_pruned,dataset
0.05,11,9,2,1,1,1,0,strict
0.05,11,9,4,1,1,3,0,imputed
