feature,spearman_corr_with_label
TC_1T,0.43773933239830365
LDL_1T,0.402205275388515
SBP_1T,0.1798683906773338
HDL_1T,0.17506979818163024
Age,0.1684028300903902
Height,0.06234882289956405
DBP_1T,0.04507889537992374
TG_1T,-0.02157566019916637
Glycemia,-0.04333062269951883
Weight,-0.1109836397034545
BMI_final,-0.14788753916675418
