feature,spearman_corr_with_label
TC_1T,0.43772022909309316
LDL_1T,0.39171188430237425
SBP_1T,0.19732135970725992
HDL_1T,0.18777232926684695
Age,0.1410543120921578
DBP_1T,0.043551103617890656
Height,0.027612496176864718
TG_1T,-0.013032246493789135
Glycemia,-0.038949966946257325
Weight,-0.13302769090551206
BMI_final,-0.15518704764801075
