feature,analysis_set,effect_strict,effect_imputed,effect_mean,q_strict,q_imputed,max_q,test,effect_name,n_strict,n_imputed,abs_effect_mean
TC_1T,full,-0.5604222821203954,-0.5658307210031348,-0.563126501561765,1.2381793782263147e-06,3.78175188039716e-07,1.2381793782263147e-06,mannwhitneyu,cliffs_delta,148,160,0.563126501561765
LDL_1T,full,-0.5150494159928122,-0.5064655172413793,-0.5107574666170958,6.004106291959955e-06,4.354667951329307e-06,6.004106291959955e-06,mannwhitneyu,cliffs_delta,148,160,0.5107574666170958
