model_key,scaler,mean,std,count,median
LogisticRegression,standard,0.48863009132973434,0.11674005308721166,86592,0.4949195608141273
SVC_linear,standard,0.4751482677259663,0.1267676016215163,80817,0.4822259102865388
LinearDiscriminantAnalysis_svd,standard,0.47201293323651045,0.11966968828569124,14432,0.4748631945281398
LogisticRegression,none,0.46464657868992787,0.10811916497206439,10824,0.46204840554381343
LogisticRegression,robust,0.45536611734402244,0.14572418533360534,86592,0.47918507678787603
LinearDiscriminantAnalysis_svd,none,0.45481025688829224,0.11099493621692261,1804,0.4506155075076964
LinearDiscriminantAnalysis_svd,maxabs,0.4537980677863074,0.1179959101895712,14432,0.4550466375675794
SVC_linear,none,0.44985473968918904,0.12675366267212035,10101,0.4555594012070811
SVC_linear,robust,0.44111487682964506,0.1578050603930239,80495,0.465620229087316
LinearDiscriminantAnalysis_svd,robust,0.4397497177161448,0.14533305482240136,14432,0.458682472293863
LogisticRegression,maxabs,0.42083543777601956,0.17093124217464903,86540,0.4563851048959511
GaussianNB,standard,0.4039702650038944,0.12375327724576042,38197,0.4053539033599804
RandomForestClassifier,maxabs,0.4026756856239689,0.11018897389772316,114510,0.4069232681378735
GaussianNB,none,0.39933421171261596,0.11101873668428218,4775,0.4000553623014474
RandomForestClassifier,robust,0.3990962174812512,0.11363720300253387,114682,0.4032441137045824
RandomForestClassifier,standard,0.39700322819214023,0.11386819448805581,114509,0.400688770601416
RandomForestClassifier,none,0.39581922537280884,0.11264691332786315,114710,0.4002929833564673
KNeighborsClassifier,none,0.38231720006036973,0.1108131960420508,28809,0.3853551092995474
GaussianNB,robust,0.38158817531531763,0.14795964154109323,38208,0.385812220350737
SVC_linear,maxabs,0.3802049127342351,0.22126952114099843,80203,0.4393073151324118
GaussianNB,maxabs,0.37625739764538196,0.13464515735375016,38198,0.3816425120772946
KNeighborsClassifier,maxabs,0.3693641798243115,0.11878475018839021,230397,0.3738382622655054
KNeighborsClassifier,standard,0.3656432654427393,0.12068063466737623,230469,0.3662963955593853
QuadraticDiscriminantAnalysis,standard,0.3631300624037082,0.12002068672613113,43296,0.363696483726654
QuadraticDiscriminantAnalysis,robust,0.33852687562492934,0.1307470552010143,43296,0.3422071677840285
KNeighborsClassifier,robust,0.33413689892040593,0.1306059266425587,230461,0.3376015381466023
QuadraticDiscriminantAnalysis,none,0.2988261535765847,0.12701233225316647,5412,0.29480357669354396
QuadraticDiscriminantAnalysis,maxabs,0.2870947318807269,0.17097646343179423,43216,0.3082573996425538
