resampling,pca,mean,std,count,median
undersample,off,0.4063728671015857,0.1187160513772362,128222,0.4122139642505557
smote,off,0.4060824566076298,0.12267093295623806,256432,0.4122292263358657
undersample,on,0.4000563777649569,0.15749130307216477,235494,0.4160031502388337
smote,on,0.3947760749231745,0.15082733150645408,471028,0.3977173260804282
none,off,0.3946636264669455,0.1270105877923277,64102,0.4006796804489798
smoteenn,on,0.3903466429490498,0.13924193798381057,471031,0.3946339545592893
smoteenn,off,0.3811033171015664,0.11922467430761101,256445,0.3813064081872778
none,on,0.34163253980290176,0.15912070456149585,117655,0.3498193330080303
