,mcc,mcc,mcc,mcc,balanced_accuracy,balanced_accuracy,balanced_accuracy,balanced_accuracy,f1,f1,f1,f1,accuracy,accuracy,accuracy,accuracy,precision,precision,precision,precision,recall,recall,recall,recall
,mean,std,median,count,mean,std,median,count,mean,std,median,count,mean,std,median,count,mean,std,median,count,mean,std,median,count
dataset_variant,,,,,,,,,,,,,,,,,,,,,,,,
IMPUTED,0.39362868626249453,0.14482716724112674,0.3948151036558235,983978,0.7069586204722546,0.07899402928580317,0.7083333333333333,984040,0.5571128819408682,0.11717676278600156,0.5677722277722278,984040,0.7238308338583798,0.07537269242929659,0.725,984040,0.5120972884690043,0.12882337763807533,0.5,983978,0.6687827333501626,0.1812109165603538,0.67,984040
STRICT,0.38976466327251313,0.13597649885779844,0.4000661320993193,1016431,0.7018520862408738,0.07289067546560794,0.7063492063492063,1016548,0.559779962146276,0.1128262422998074,0.5718927704861209,1016548,0.7174999146434625,0.07487319561418446,0.7305747126436781,1016548,0.5243149763479535,0.12817739733981626,0.5284848484848486,1016431,0.6612832767609007,0.1759244560343898,0.6666666666666666,1016548
