dataset_variant,best_level,best_mean,best_std,best_count,worst_level,worst_mean,worst_std,worst_count,delta_best_worst
IMPUTED,standard,0.41197799494238857,0.1340187876562764,299860,maxabs,0.3806665363712976,0.15662863987191866,299301,0.031311458571090967
STRICT,standard,0.40482893709504114,0.12530728154820087,308452,robust,0.3800086931074309,0.14218670293948385,308542,0.024820243987610235
