config_name,GaussianNB,KNeighborsClassifier,LinearDiscriminantAnalysis_svd,LogisticRegression,QuadraticDiscriminantAnalysis,RandomForestClassifier,SVC_linear
config_kfold,0.38529936840940315,0.3603387951829539,0.455352838837423,0.45737779628272973,0.32530425602370494,0.4089509396569025,0.4342174674312968
config_loo,0.3681405440669358,0.35072848993960637,0.4472802960740969,0.4546091469756317,0.3364644985280313,0.39361498356026947,0.4246973482691281
config_random80,0.36626971367468875,0.35750321399571133,0.44314609260675347,0.4466623737334971,0.32196193838219855,0.37995369842486915,0.42120513533511356
config_strat80,0.4134617660049074,0.3521649676356051,0.4676247452261899,0.4600088876398014,0.3401524641080158,0.4006024857323967,0.44282357395090755
