rank,resampling,mcc_mean,mcc_std,mcc_median,mcc_count,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_median,balanced_accuracy_count,f1_mean,f1_std,f1_median,f1_count,recall_mean,recall_std,recall_median,recall_count,precision_mean,precision_std,precision_median,precision_count,accuracy_mean,accuracy_std,accuracy_median,accuracy_count
1,undersample,0.402283150564947,0.14504114347714336,0.4135179228034119,363716,0.7139259758132254,0.07753302913469239,0.7203504043126685,363746,0.572769192051538,0.11235343228219308,0.5876470588235294,363746,0.6943682497302639,0.15946708584235741,0.7,363746,0.5121874399279107,0.11856945254272057,0.5176587301587301,363716,0.7212726944896853,0.07522927897999747,0.7295238095238095,363746
2,smote,0.3987616109912858,0.1416457066289599,0.4055798514434191,727460,0.7080912286954529,0.07505785633687119,0.7094516594516594,727483,0.5657815057237611,0.11133451950820746,0.5718253968253968,727483,0.6528355815103601,0.15640820379908293,0.6611111111111111,727483,0.5278907421982644,0.12237569178958106,0.5333333333333333,727460,0.7314970774683146,0.06743427859429939,0.7333333333333333,727483
3,smoteenn,0.3870882472123411,0.13260454360954113,0.3878298753613796,727476,0.7066677134996734,0.07269124550743489,0.7076298701298701,727482,0.5649867887489203,0.09993196079302566,0.5714285714285714,727482,0.7187560711347386,0.16012787699286973,0.736111111111111,727482,0.49232502612703677,0.11010706782149204,0.4969047619047619,727476,0.6999201481848927,0.08130083810883046,0.70625,727482
4,none,0.360335526303221,0.15073491715770282,0.374630754125936,181757,0.6611160541361696,0.07554694419443227,0.66,181877,0.47454000556367626,0.15116220439055647,0.4937613263929054,181877,0.4395970271068153,0.18668768503357117,0.4349999999999999,181877,0.596167710241251,0.19060045488351127,0.6,181757,0.7585375929964399,0.05107648097173096,0.7625,181877
