config_name,model_class,scaler,resampling,pca,seed,accuracy__IMPUTED,accuracy__STRICT,balanced_accuracy__IMPUTED,balanced_accuracy__STRICT,f1__IMPUTED,f1__STRICT,mcc__IMPUTED,mcc__STRICT,precision__IMPUTED,precision__STRICT,recall__IMPUTED,recall__STRICT,delta_mcc,delta_balanced_accuracy
config_kfold,GaussianNB,maxabs,none,off,198888238.0,0.7875,0.7438587848932676,0.7368939393939394,0.674702380952381,0.6155555555555555,0.5245198592257415,0.4761024729969645,0.3688932625242098,0.6266666666666667,0.5785119047619048,0.62,0.5125000000000001,-0.10720921047275472,-0.06219155844155844
config_kfold,GaussianNB,maxabs,none,off,330267354.0,0.7625000000000001,0.7625287356321838,0.706520092226614,0.7250721500721501,0.5745972886762359,0.6065359477124183,0.4320898974774517,0.4398664114816216,0.6203589466089466,0.58,0.5858333333333333,0.638888888888889,0.007776514004169899,0.01855205784553604
config_kfold,GaussianNB,maxabs,none,off,478163327.0,0.7687500000000002,0.7294745484400657,0.7115338164251209,0.6823719336219337,0.5765406162464985,0.5342366946778712,0.4273339103046765,0.3668840461110414,0.5883116883116883,0.5480982905982906,0.586111111111111,0.5663888888888889,-0.06044986419363507,-0.02916188280318721
config_kfold,GaussianNB,maxabs,none,off,505971449.0,0.7625000000000001,0.7392282430213465,0.7181971892841458,0.6862031024531025,0.5894455561638224,0.5494582953278605,0.43512268296703827,0.3861646085899469,0.5871031746031745,0.576510989010989,0.6169444444444444,0.5697222222222222,-0.048958074377091376,-0.03199408683104332
config_kfold,GaussianNB,maxabs,none,off,624025999.0,0.75625,0.7498275862068966,0.6968939393939394,0.7037121212121212,0.554978354978355,0.5665740253898148,0.4020046218986091,0.41241487312685265,0.5766666666666667,0.5893831168831168,0.5650000000000001,0.59,0.010410251228243572,0.006818181818181834
config_kfold,GaussianNB,maxabs,none,off,1092773876.0,0.7468749999999998,0.7640968801313629,0.6964882520860782,0.7170111832611833,0.5466605908711172,0.5978028404344193,0.38524292500148793,0.44891541801572615,0.5403721278721277,0.6336904761904761,0.5822222222222222,0.6086111111111111,0.06367249301423822,0.020522931175105064
config_kfold,GaussianNB,maxabs,none,off,1122456590.0,0.775,0.7298850574712642,0.7159848484848487,0.6655663780663781,0.5877272727272727,0.5241273432449903,0.4421641648016315,0.3438733450980958,0.61,0.5488888888888889,0.585,0.5194444444444445,-0.0982908197035357,-0.050418470418470585
config_kfold,GaussianNB,maxabs,none,off,1130931295.0,0.75625,0.7499425287356322,0.6981280193236715,0.6982611832611832,0.5507843137254902,0.56510101010101,0.389118359429302,0.40006561022692066,0.543939393939394,0.5756565656565656,0.5694444444444444,0.5761111111111111,0.010947250797618657,0.00013316393751172662
config_kfold,GaussianNB,maxabs,none,off,1648070629.0,0.75625,0.74064039408867,0.7065909090909092,0.6930176767676768,0.5535708735708735,0.5568302449184802,0.40151764867506295,0.3938063916694241,0.5475,0.5786688311688312,0.595,0.5836111111111112,-0.00771125700563885,-0.013573232323232376
config_kfold,GaussianNB,maxabs,none,off,2013803541.0,0.74375,0.7536206896551724,0.6842555994729907,0.713248556998557,0.5359161495539204,0.584920634920635,0.3699208165574903,0.4178775400483818,0.546984126984127,0.5663095238095238,0.5499999999999999,0.6197222222222222,0.04795672349089147,0.0289929575255663
config_kfold,GaussianNB,maxabs,none,on,198888238.0,0.7410714285714286,0.7345449214168426,0.6247943722943723,0.6285103586889301,0.4182766439909296,0.43192514534951504,0.28336161256958137,0.2980428818013793,0.5361904761904762,0.5731179138321996,0.3621428571428571,0.3801190476190476,0.014681269231797911,0.0037159863945578353
config_kfold,GaussianNB,maxabs,none,on,330267354.0,0.7544642857142857,0.734679802955665,0.6462887414517849,0.6225211296639868,0.45939232557211324,0.42981052560884486,0.33455266807505407,0.3001151168966212,0.5860512503369646,0.5996040467469038,0.4053174603174603,0.3603174603174603,-0.03443755117843289,-0.023767611787798182
config_kfold,GaussianNB,maxabs,none,on,478163327.0,0.7366071428571429,0.7315388224255219,0.620703933747412,0.6369903112760256,0.4299179158843024,0.45106050382366175,0.28681083020191495,0.302279403101596,0.5615295815295814,0.5509446505875077,0.3642857142857142,0.41444444444444445,0.015468572899681066,0.016286377528613616
config_kfold,GaussianNB,maxabs,none,on,505971449.0,0.7254464285714286,0.7265622800844476,0.603793133195307,0.6145676149247578,0.3770568293566966,0.406844926904635,0.234226360380417,0.2812226872437824,0.4880385487528344,0.5832826697112411,0.33349206349206345,0.3568253968253968,0.04699632686336541,0.010774481729450724
config_kfold,GaussianNB,maxabs,none,on,624025999.0,0.7482142857142857,0.7357400891391039,0.6254112554112554,0.6249479488765203,0.4250133992991135,0.4348290598290598,0.3056995092342454,0.28887503798418385,0.595,0.5560260770975057,0.3542857142857143,0.3687301587301587,-0.016824471250061535,-0.0004633065347351417
config_kfold,GaussianNB,maxabs,none,on,1092773876.0,0.7486607142857142,0.748872859488623,0.6478812190225234,0.649656771799629,0.46036024727643476,0.47038074204040586,0.3183120366954478,0.3384584646458009,0.5459879406307978,0.5990063904349618,0.4226587301587301,0.42666666666666664,0.020146427950353152,0.0017755527771056157
config_kfold,GaussianNB,maxabs,none,on,1122456590.0,0.7508928571428571,0.715336617405583,0.6378030303030303,0.6122423211708925,0.44246031746031744,0.4178389304439724,0.32900729381717936,0.24429357360243312,0.6185714285714285,0.48979591836734687,0.38285714285714284,0.37420634920634915,-0.08471372021474624,-0.025560709132137815
config_kfold,GaussianNB,maxabs,none,on,1130931295.0,0.7303571428571429,0.7473997185080928,0.604848171152519,0.6397763347763348,0.39165233925738124,0.4387035583464155,0.24552241317114876,0.3140543566342491,0.5166666666666666,0.5605158730158729,0.3281746031746031,0.3913492063492063,0.06853194346310032,0.03492816362381579
config_kfold,GaussianNB,maxabs,none,on,1648070629.0,0.7241071428571428,0.7436195167722262,0.5941341991341991,0.647562358276644,0.3484938870653156,0.4735936916786099,0.23193057786175467,0.3347092201325668,0.5102891156462585,0.5874680478251907,0.30428571428571427,0.42611111111111105,0.10277864227081215,0.05342815914244492
config_kfold,GaussianNB,maxabs,none,on,2013803541.0,0.7316964285714286,0.7295543044804129,0.6068573938139156,0.6233137497423212,0.3922331658709367,0.43379344045310425,0.25709613778055695,0.28728677475259695,0.5400566893424036,0.5652380952380952,0.32936507936507936,0.3756349206349206,0.030190636972039997,0.016456355928405664
config_kfold,GaussianNB,maxabs,smote,off,198888238.0,0.709375,0.7142220853858784,0.6999810606060607,0.6883310786435786,0.5522027972027972,0.5524921444243526,0.3647955740366533,0.3714194228262342,0.4781349206349206,0.5267584498834498,0.6725,0.6315972222222223,0.006623848789580888,-0.011649981962482125
config_kfold,GaussianNB,maxabs,smote,off,330267354.0,0.71875,0.7316666666666668,0.6960456466842336,0.7103805916305918,0.5533532425961588,0.5884269497272593,0.374532691076011,0.4028490258570298,0.5099858127983128,0.539280303030303,0.6478472222222222,0.6597222222222222,0.028316334781018804,0.014334944946358119
config_kfold,GaussianNB,maxabs,smote,off,478163327.0,0.7312500000000001,0.7067118226600986,0.7071859903381642,0.6905402236652236,0.5699500056037948,0.5540057428773945,0.39407341353011954,0.36684502642745037,0.5199297924297924,0.5141373556998557,0.6527777777777778,0.6472222222222223,-0.02722838710266917,-0.0166457666729406
config_kfold,GaussianNB,maxabs,smote,off,505971449.0,0.7171875000000001,0.689098932676519,0.7024795509442249,0.6666522366522366,0.5572241180507771,0.5230040533138359,0.3768897032400988,0.3175961703980194,0.49315712065712064,0.47097212020006135,0.6659027777777778,0.6226388888888889,-0.05929353284207939,-0.035827314291988266
config_kfold,GaussianNB,maxabs,smote,off,624025999.0,0.7124999999999999,0.7146572249589491,0.6744886363636363,0.6953255772005772,0.5181818181818182,0.5598436640795976,0.32984306599648777,0.3691414852388984,0.47217261904761904,0.5046599927849927,0.595,0.6486111111111111,0.03929841924241062,0.020836940836940876
