config_name,model_key,mean,std,count,median
config_strat80,LinearDiscriminantAnalysis_svd,0.4676247452261899,0.16552287187575626,11000,0.4732058754737091
config_strat80,LogisticRegression,0.4600088876398014,0.18663914146832564,66000,0.4865336327998411
config_kfold,LogisticRegression,0.45737779628272973,0.1030298606284314,132000,0.4802665442111255
config_kfold,LinearDiscriminantAnalysis_svd,0.455352838837423,0.07145885109608999,22000,0.4637400053977306
config_loo,LogisticRegression,0.4546091469756317,0.08169091200814303,6548,0.4755277797900554
config_loo,LinearDiscriminantAnalysis_svd,0.4472802960740969,0.06832505644680435,1100,0.4567317558315135
config_random80,LogisticRegression,0.4466623737334971,0.1793491688392472,66000,0.4475323507759939
config_random80,LinearDiscriminantAnalysis_svd,0.44314609260675347,0.17056313550885993,11000,0.4376973239219324
config_strat80,SVC_linear,0.44282357395090755,0.21117112743226799,66000,0.4779733235482032
config_kfold,SVC_linear,0.4342174674312968,0.13324248348961518,116900,0.4675509438329783
config_loo,SVC_linear,0.4246973482691281,0.14151739480241848,4366,0.4506693490173787
config_random80,SVC_linear,0.42120513533511356,0.20277118999394406,64350,0.4308202184276645
config_strat80,GaussianNB,0.4134617660049074,0.17038857443357439,33000,0.4117980140314096
config_kfold,RandomForestClassifier,0.4089509396569025,0.052250949731424204,202752,0.411234643177128
config_strat80,RandomForestClassifier,0.4006024857323967,0.14313577467923763,126720,0.4000661320993193
config_loo,RandomForestClassifier,0.39361498356026947,0.050201453721255625,5387,0.3942959909955345
config_kfold,GaussianNB,0.38529936840940315,0.06790224114126524,52800,0.3899758047882505
config_random80,RandomForestClassifier,0.37995369842486915,0.14467432576832437,123552,0.3752141853706119
config_loo,GaussianNB,0.3681405440669358,0.06169479708740682,1403,0.3720707550711957
config_random80,GaussianNB,0.36626971367468875,0.17143360448031852,32175,0.3705649863991935
config_kfold,KNeighborsClassifier,0.3603387951829539,0.06699944851601483,351700,0.36416309305626826
config_random80,KNeighborsClassifier,0.35750321399571133,0.16688942181935584,174850,0.363696483726654
config_strat80,KNeighborsClassifier,0.3521649676356051,0.1607391906234146,176000,0.3563483225498992
config_loo,KNeighborsClassifier,0.35072848993960637,0.06698073377290263,17586,0.3542914986839331
config_strat80,QuadraticDiscriminantAnalysis,0.3401524641080158,0.1808965302733076,33000,0.3316863613133475
config_loo,QuadraticDiscriminantAnalysis,0.3364644985280313,0.08183062083810672,3220,0.3442204742940023
config_kfold,QuadraticDiscriminantAnalysis,0.32530425602370494,0.10647501643055665,66000,0.34189938182874147
config_random80,QuadraticDiscriminantAnalysis,0.32196193838219855,0.17347951242816112,33000,0.3268228676411533
