dataset_variant,count_top,fraction_top,count_global,fraction_global,enrichment_top_vs_global
IMPUTED,173,0.5884353741496599,734,0.5003408316291752,1.176069065228271
STRICT,121,0.41156462585034015,733,0.4996591683708248,0.8236907314085252
