model_key,best_level,best_mean,best_std,best_count,worst_level,worst_mean,worst_std,worst_count,delta_best_worst
SVC_linear,smote,0.4560676885234799,0.16623295797107177,91488,none,0.3434797899434523,0.15780746706861656,22860,0.1125878985800276
QuadraticDiscriminantAnalysis,undersample,0.36131408388994296,0.1444938727651366,24588,none,0.256755735504044,0.17681368934237238,12236,0.10455834838589895
LogisticRegression,smote,0.4753286818816728,0.1443915338445047,98400,none,0.41086978529391055,0.18127845866411324,24568,0.06445889658776227
GaussianNB,undersample,0.40665408760958477,0.13587241361081154,21705,none,0.3487558869665923,0.1508554623805202,10852,0.05789820064299245
LinearDiscriminantAnalysis_svd,smote,0.4772284957363392,0.13326961503446041,16400,none,0.4227676829426601,0.1333302989426267,4100,0.05446081279367909
KNeighborsClassifier,undersample,0.37764571329894375,0.12831560146232385,130935,none,0.3322124854870559,0.13124370832213914,65466,0.045433227811887855
RandomForestClassifier,smote,0.4143426934634518,0.11254004033651832,166692,smoteenn,0.3748205725335309,0.11306868731848464,166693,0.03952212092992091
