rank,scaler,mcc_mean,mcc_std,mcc_median,mcc_count,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_median,balanced_accuracy_count,f1_mean,f1_std,f1_median,f1_count,recall_mean,recall_std,recall_median,recall_count,precision_mean,precision_std,precision_median,precision_count,accuracy_mean,accuracy_std,accuracy_median,accuracy_count
1,standard,0.4083529781892586,0.12972381383837003,0.4081867647155635,608312,0.7132640548132745,0.07064528709099319,0.71256038647343,608312,0.5724085411052092,0.09781870671820216,0.5760839160839161,608312,0.6733621753320076,0.16110869022364865,0.6666666666666666,608312,0.53259084324076,0.1147715080697907,0.5281367243867243,608312,0.7296878412953826,0.06604850662863831,0.7333333333333333,608312
2,none,0.3986536829988668,0.1168330622424068,0.4030205773450562,176435,0.7061881464460986,0.06181810640349187,0.7077272727272728,176435,0.5654961001721418,0.08754660729589975,0.5714285714285714,176435,0.6566310737234043,0.14588857762258767,0.6666666666666666,176435,0.5342847440811237,0.11766285593021493,0.5297619047619048,176435,0.7269701263340685,0.06646949306624649,0.7333333333333333,176435
3,robust,0.38360633388634086,0.14378913589449158,0.387272713435691,608166,0.6998991144530079,0.07737715353699162,0.7012626262626263,608167,0.554179781501359,0.10945124203710174,0.5602974802974803,608167,0.6526127712550195,0.1718154141255763,0.6666666666666666,608167,0.5177350730574601,0.123692441392126,0.5086904761904762,608166,0.7195494619656214,0.07211659795506568,0.725,608167
4,maxabs,0.3809935288848831,0.15144818153102885,0.394453804012833,607496,0.6993930320931497,0.08241199038863063,0.7067028985507247,607674,0.5467642473397966,0.13920430772628906,0.5714285714285714,607674,0.6713642627491543,0.20737365294655521,0.6950000000000001,607674,0.4999303092382355,0.14610851231822372,0.5,607496,0.710750361200098,0.08696684463978757,0.7204761904761905,607674
