config_name,best_level,best_mean,best_std,best_count,worst_level,worst_mean,worst_std,worst_count,delta_best_worst
config_kfold,LogisticRegression,0.45737779628272973,0.1030298606284314,132000,QuadraticDiscriminantAnalysis,0.32530425602370494,0.10647501643055665,66000,0.1320735402590248
config_strat80,LinearDiscriminantAnalysis_svd,0.4676247452261899,0.16552287187575626,11000,QuadraticDiscriminantAnalysis,0.3401524641080158,0.1808965302733076,33000,0.1274722811181741
config_random80,LogisticRegression,0.4466623737334971,0.1793491688392472,66000,QuadraticDiscriminantAnalysis,0.32196193838219855,0.17347951242816112,33000,0.12470043535129854
config_loo,LogisticRegression,0.4546091469756317,0.08169091200814303,6548,QuadraticDiscriminantAnalysis,0.3364644985280313,0.08183062083810672,3220,0.11814464844760042
