scaler,pca,mean,std,count,median
standard,on,0.4128862930218406,0.13322336555929767,432061,0.4117980140314096
none,off,0.3986536829988668,0.1168330622424068,176435,0.4030205773450562
robust,off,0.39820012023687174,0.12025520015389109,176366,0.4010742869288153
standard,off,0.39724002824922866,0.11999462799638702,176251,0.4000661320993193
maxabs,off,0.38995321592314797,0.12911927798797693,176149,0.3995435853429452
robust,on,0.37764559344285376,0.15195691752335458,431800,0.380198765217406
maxabs,on,0.37733466511139374,0.1595266925669248,431347,0.3922322702763681
