model_key,none,smote,smoteenn,undersample
GaussianNB,0.3487558869665923,0.3963223153886948,0.3794839958701065,0.40665408760958477
KNeighborsClassifier,0.3322124854870559,0.34830645025653156,0.36271685095819606,0.37764571329894375
LinearDiscriminantAnalysis_svd,0.4227676829426601,0.4772284957363392,0.4373425718490183,0.46291914485395363
LogisticRegression,0.41086978529391055,0.4753286818816728,0.44573874652288675,0.45676387076040115
QuadraticDiscriminantAnalysis,0.256755735504044,0.33082294923731864,0.3272853258031626,0.36131408388994296
RandomForestClassifier,0.4112531549163042,0.4143426934634518,0.3748205725335309,0.40860767100905393
SVC_linear,0.3434797899434523,0.4560676885234799,0.44286040924325065,0.4117802117367503
