model_key,count_top,fraction_top,count_global,fraction_global,enrichment_top_vs_global
LogisticRegression,117,0.3979591836734694,224,0.2198233562315996,1.8103589650145773
LinearDiscriminantAnalysis_svd,99,0.336734693877551,224,0.2198233562315996,1.5318422011661808
SVC_linear,66,0.22448979591836735,223,0.21884200196270853,1.0258076324700285
GaussianNB,10,0.034013605442176874,220,0.21589793915603533,0.15754483611626469
RandomForestClassifier,2,0.006802721088435374,128,0.1256133464180569,0.05415603741496599
