dataset_variant,config_name,val_strategy,model_key,model_class,imputer,scaler,pca,resampling,n_seed_runs,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,balanced_accuracy_mean,balanced_accuracy_std,mcc_mean,mcc_std,fair_composite_rank_mean
IMPUTED,config_strat80,stratified_split_80_20,SVC_linear,SVC,median,standard,on,smoteenn,10,0.8125,0.0943269285222647,0.6366631540973646,0.1550011678959849,0.9111111111111112,0.1365858438117465,0.7393691111837565,0.1238930946974472,0.842512077294686,0.0875642270614581,0.6393175177092452,0.1756636944939326,424.3333333333333
IMPUTED,config_strat80,stratified_split_80_20,SVC_linear,SVC,none,standard,on,smoteenn,10,0.8125,0.0943269285222647,0.6366631540973646,0.1550011678959849,0.9111111111111112,0.1365858438117465,0.7393691111837565,0.1238930946974472,0.842512077294686,0.0875642270614581,0.6393175177092452,0.1756636944939326,424.3333333333333
IMPUTED,config_strat80,stratified_split_80_20,SVC_linear,SVC,median,robust,off,smote,10,0.83125,0.0724688630455253,0.6795292207792208,0.144761231342584,0.8222222222222222,0.1752912528325811,0.7318318366248101,0.1218533552668122,0.8285024154589372,0.0881633320785331,0.6309058270582744,0.1689714929619857,507.5
IMPUTED,config_strat80,stratified_split_80_20,SVC_linear,SVC,none,robust,off,smote,10,0.83125,0.0724688630455253,0.6795292207792208,0.144761231342584,0.8222222222222222,0.1752912528325811,0.7318318366248101,0.1218533552668122,0.8285024154589372,0.0881633320785331,0.6309058270582744,0.1689714929619857,507.5
IMPUTED,config_strat80,stratified_split_80_20,SVC_linear,SVC,median,standard,on,smoteenn,10,0.803125,0.104218736985673,0.6241270739064857,0.1648755098983785,0.9,0.1429648819675465,0.7279384708260734,0.1346607542650782,0.8326086956521739,0.1046701969523475,0.6185867514079043,0.2060389047983561,572.1666666666666
IMPUTED,config_strat80,stratified_split_80_20,SVC_linear,SVC,none,standard,on,smoteenn,10,0.803125,0.104218736985673,0.6241270739064857,0.1648755098983785,0.9,0.1429648819675465,0.7279384708260734,0.1346607542650782,0.8326086956521739,0.1046701969523475,0.6185867514079043,0.2060389047983561,572.1666666666666
IMPUTED,config_strat80,stratified_split_80_20,SVC_linear,SVC,median,robust,on,smote,10,0.828125,0.071032196338468,0.6697077922077922,0.132935724268896,0.8111111111111111,0.1660482353441473,0.7249852893102321,0.1223281918927534,0.8229468599033817,0.0886257306689413,0.6176860193425201,0.1691933684831208,611.8333333333334
IMPUTED,config_strat80,stratified_split_80_20,SVC_linear,SVC,median,robust,on,smote,10,0.828125,0.071032196338468,0.6697077922077922,0.132935724268896,0.8111111111111111,0.1660482353441473,0.7249852893102321,0.1223281918927534,0.8229468599033817,0.0886257306689413,0.6176860193425201,0.1691933684831208,611.8333333333334
IMPUTED,config_strat80,stratified_split_80_20,SVC_linear,SVC,none,robust,on,smote,10,0.828125,0.071032196338468,0.6697077922077922,0.132935724268896,0.8111111111111111,0.1660482353441473,0.7249852893102321,0.1223281918927534,0.8229468599033817,0.0886257306689413,0.6176860193425201,0.1691933684831208,611.8333333333334
IMPUTED,config_strat80,stratified_split_80_20,SVC_linear,SVC,none,robust,on,smote,10,0.828125,0.071032196338468,0.6697077922077922,0.132935724268896,0.8111111111111111,0.1660482353441473,0.7249852893102321,0.1223281918927534,0.8229468599033817,0.0886257306689413,0.6176860193425201,0.1691933684831208,611.8333333333334
