dataset_variant,maxabs,none,robust,standard
IMPUTED,0.7008679695058063,0.706752013147842,0.7033360257839393,0.7167176191848182
STRICT,0.6979609012620567,0.7056616619770865,0.6965615533331027,0.7099066902559006
