model_class,IMPUTED,STRICT
GaussianNB,0.3906077491735531,0.3851668578986326
KNeighborsClassifier,0.3592115920357041,0.355620029738938
LinearDiscriminantAnalysis,0.462722269385365,0.4476214111586345
LogisticRegression,0.46336787829685583,0.44730841262844473
QuadraticDiscriminantAnalysis,0.329126496490493,0.3276293071996051
RandomForestClassifier,0.39305186352170846,0.4037197890645605
SVC,0.44288241832079966,0.4234667583877469
