dataset_variant,best_level,best_mean,best_std,best_count,worst_level,worst_mean,worst_std,worst_count,delta_best_worst
IMPUTED,undersample,0.407044999020923,0.14862735207324845,178916,none,0.3564158019878426,0.154612670842763,89403,0.050629197033080386
STRICT,undersample,0.3976729185392469,0.14133016471003051,184800,none,0.3641300031311632,0.14678474646007414,92354,0.033542915408083684
