dataset_variant,resampling,mean,std,count,median
IMPUTED,undersample,0.407044999020923,0.14862735207324845,178916,0.4135179228034119
IMPUTED,smote,0.40104889448075853,0.1459567839908646,357832,0.4032441137045824
STRICT,undersample,0.3976729185392469,0.14133016471003051,184800,0.4134270183093829
STRICT,smote,0.3965473219612205,0.1373072634130582,369628,0.4075500715665535
IMPUTED,smoteenn,0.38879775548354806,0.13726806224783297,357827,0.38737781366765
STRICT,smoteenn,0.38543341190597974,0.12790676304926626,369649,0.3898193522907801
STRICT,none,0.3641300031311632,0.14678474646007414,92354,0.3838537000139593
IMPUTED,none,0.3564158019878426,0.154612670842763,89403,0.362917345200672
