dataset_variant,config_name,n_config_seed_runs,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,balanced_accuracy_mean,balanced_accuracy_std,mcc_mean,mcc_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,brier_mean,brier_std
IMPUTED,config_kfold,452604,0.7208466175729777,0.051271848582198985,0.5134448400823491,0.08243350718232141,0.6623741701109334,0.14646360828185875,0.5548364111006244,0.084249120330596,0.7029830182511291,0.05159305903375525,0.38917446594703825,0.0910176055705415,0.7733147121472552,0.05165137133634006,0.6071423422958134,0.07457221703121088,0.2028500839677925,0.03359989345201292
IMPUTED,config_loo,19716,0.7192077500507202,0.052530972558098216,0.5047319389931113,0.0710719045601677,0.6658587602259292,0.1455318967588467,0.5604359209519884,0.07973136460772526,0.7026496025041856,0.054488172770115494,0.3823808117378928,0.09204710208418865,,,,,,
IMPUTED,config_random80,255860,0.7281232900805128,0.08625644917278591,0.48768084295633085,0.15619053822863133,0.6698486222862835,0.214757841528962,0.5406197967290606,0.14051458672259676,0.7100764067860981,0.09641472510090993,0.38768376812117733,0.17130863747962627,0.786006192558548,0.09595601660305633,0.5530559577046404,0.13658632865174392,0.19880373867028317,0.051336501025560165
IMPUTED,config_strat80,255860,0.7251735568279528,0.09751276994823764,0.5346957527739582,0.16094784155090855,0.6792785985391316,0.20101966015625855,0.5773768683136012,0.1390130475106359,0.7112055260443985,0.09853420129225601,0.40831691581459645,0.18898971624086466,0.7885375116449175,0.11137737780538488,0.6312104544148465,0.16494800167557197,0.19784447204238106,0.06189917264309079
STRICT,config_kfold,491548,0.7252395579606736,0.049819470126897504,0.5343934517512602,0.08795638358266133,0.6593359809780077,0.14545877226547277,0.5665876293440592,0.08945424353111307,0.7053109684358362,0.05318219719252785,0.39969727524821813,0.09566240799979824,0.7776165168612437,0.057494150773778965,0.6282946428109707,0.07945275349807032,0.1997021639476041,0.03286365946739387
STRICT,config_loo,20073,0.721239924003856,0.04859727587665169,0.5185077622368174,0.07323131850971591,0.6571711528782015,0.1493300074404254,0.5652670646980862,0.0881925571687415,0.7018499752419943,0.05481168962075378,0.3856452785040927,0.08978288771140311,,,,,,
STRICT,config_random80,249067,0.7047822473470994,0.10344164311956107,0.4834657704846756,0.16259682029919412,0.690033702603513,0.20343423635051952,0.5413198849907295,0.13951121933258273,0.7045147065477045,0.09388750945237576,0.3779266364128947,0.17480486115182803,0.7833800565459802,0.09963761277919368,0.5870323631317556,0.15773153683729774,0.21037086160486176,0.06666509230367187
STRICT,config_strat80,255860,0.7147174235910264,0.08137582131871826,0.5451702233346118,0.1483037791024136,0.6373598408852063,0.19721610986559496,0.5642408322769804,0.12330123422336384,0.6926152571036491,0.08212008570249246,0.38252755206657757,0.15848405743489055,0.7734792237156811,0.08599729842453728,0.62127681295075,0.12495860187584609,0.20421738576481796,0.05119575056621594
