dataset_variant,maxabs,none,robust,standard
IMPUTED,0.3806665363712976,0.39680118577511136,0.38731105474049954,0.41197799494238857
STRICT,0.3813110849331923,0.40038336665314217,0.3800086931074309,0.40482893709504114
