model_key,maxabs,none,robust,standard
GaussianNB,0.37625739764538196,0.39933421171261596,0.38158817531531763,0.4039702650038944
KNeighborsClassifier,0.3693641798243115,0.38231720006036973,0.33413689892040593,0.3656432654427393
LinearDiscriminantAnalysis_svd,0.4537980677863074,0.45481025688829224,0.4397497177161448,0.47201293323651045
LogisticRegression,0.42083543777601956,0.46464657868992787,0.45536611734402244,0.48863009132973434
QuadraticDiscriminantAnalysis,0.2870947318807269,0.2988261535765847,0.33852687562492934,0.3631300624037082
RandomForestClassifier,0.4026756856239689,0.39581922537280884,0.3990962174812512,0.39700322819214023
SVC_linear,0.3802049127342351,0.44985473968918904,0.44111487682964506,0.4751482677259663
