dataset_variant,pca,mean,std,count,median
STRICT,off,0.39819968414392626,0.1107380946741806,364634,0.4075500715665535
IMPUTED,off,0.39367320553097096,0.13236622256034591,340567,0.3927922024247863
IMPUTED,on,0.3936051215523681,0.15100741299030243,643411,0.3968130068537253
STRICT,on,0.38504586984384304,0.14802346987627227,651797,0.3947710169758614
