scaler,count_top,fraction_top,count_global,fraction_global,enrichment_top_vs_global
standard,128,0.43537414965986393,415,0.2828902522154056,1.5390213916892057
none,48,0.16326530612244897,223,0.1520109066121336,1.074036789603734
robust,81,0.2755102040816326,415,0.2828902522154056,0.9739119744283254
maxabs,37,0.12585034013605442,414,0.2822085889570552,0.4459479443951494
