rank,model_key,mcc_mean,mcc_std,mcc_median,mcc_count,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_median,balanced_accuracy_count,f1_mean,f1_std,f1_median,f1_count,recall_mean,recall_std,recall_median,recall_count,precision_mean,precision_std,precision_median,precision_count,accuracy_mean,accuracy_std,accuracy_median,accuracy_count
1,LogisticRegression,0.4553386203348554,0.1473458647173081,0.477698567057256,270548,0.7428216310380797,0.08197464601646563,0.7556818181818181,270600,0.6011447505815198,0.1346512683677788,0.6289385614385614,270600,0.7534565524091578,0.1945734567063466,0.78,270600,0.531025659478039,0.13383102006413383,0.5392857142857143,270548,0.7367051983614062,0.07822502415109246,0.7496551724137931,270600
2,LinearDiscriminantAnalysis_svd,0.4551718402719998,0.12828191996247187,0.4629100498862757,45100,0.7403380926173089,0.07025952335791608,0.7443181818181819,45100,0.6061432693277706,0.09760039065726152,0.6153846153846154,45100,0.7341688262710435,0.15858798994848589,0.7527777777777778,45100,0.549315134565112,0.11867166310831227,0.5448717948717949,45100,0.7415733310041552,0.06916280550582357,0.75,45100
3,SVC_linear,0.43298183305050575,0.17570002606444568,0.4629100498862757,251616,0.7266338362064864,0.09543771551994641,0.7452898550724638,251663,0.5790060772548524,0.1532621185927513,0.6153846153846154,251663,0.6991136435129702,0.22012633969501025,0.75,251663,0.5367380395722764,0.1602927051594454,0.5482051282051282,251616,0.7373212662842054,0.09095091395726622,0.75,251663
4,RandomForestClassifier,0.3986475262887544,0.11262490785427529,0.4028467047634496,458411,0.7030995136029474,0.05819380158569586,0.7055303030303031,458411,0.562241258324395,0.08392892960766762,0.570605136028477,458411,0.6277577633786146,0.13470518081137933,0.63,458411,0.5485865223950116,0.11799711809600982,0.5454545454545454,458411,0.7353490308613069,0.06251198882899092,0.7375,458411
5,GaussianNB,0.38775380849894836,0.1354417876123722,0.3892677195517325,119378,0.7005329807866114,0.07132501151217961,0.7025,119378,0.5549693571707847,0.10429019975383799,0.5625754108591637,119378,0.6369683778473086,0.15946327513729736,0.655,119378,0.5285036265664879,0.12582397050547023,0.519514472455649,119378,0.7274075990225255,0.06656851000798127,0.73125,119378
6,KNeighborsClassifier,0.35741795544305444,0.12405991867190622,0.3627023737600852,720136,0.6884291513343991,0.06712833543874135,0.6904761904761905,720136,0.542820750723807,0.09195268367291182,0.5509754984891915,720136,0.6592006664539255,0.15389793274529337,0.6666666666666666,720136,0.4911071382918724,0.10611256715374397,0.4890567765567765,720136,0.7003746560945436,0.0687829655423786,0.7028571428571428,720136
7,QuadraticDiscriminantAnalysis,0.3283779904230281,0.14516626406866834,0.3393060601030714,135220,0.6665104978595235,0.07943969453832839,0.6714975845410628,135300,0.4926079112891144,0.15182879079938905,0.5217391304347826,135300,0.5829456993363867,0.23589929641109228,0.6,135300,0.48139925892828034,0.1598325874850765,0.5,135220,0.7021742716603314,0.08692401263869458,0.71875,135300
