dataset_variant,scaler,mean,std,count,median
IMPUTED,standard,0.41197799494238857,0.1340187876562764,299860,0.4098900986021981
STRICT,standard,0.40482893709504114,0.12530728154820087,308452,0.4075500715665535
STRICT,none,0.40038336665314217,0.1041368587765384,91242,0.4075500715665535
IMPUTED,none,0.39680118577511136,0.1290277830975718,85193,0.3966037729442587
IMPUTED,robust,0.38731105474049954,0.14532800146297953,299624,0.38579501447625514
STRICT,maxabs,0.3813110849331923,0.14624123826663407,308195,0.3988685222235976
IMPUTED,maxabs,0.3806665363712976,0.15662863987191866,299301,0.3911419769499428
STRICT,robust,0.3800086931074309,0.14218670293948385,308542,0.3888074075563407
