resampling,count_top,fraction_top,count_global,fraction_global,enrichment_top_vs_global
smote,115,0.391156462585034,368,0.250852079072938,1.5593112244897958
undersample,73,0.24829931972789115,367,0.2501704158145876,0.9925207140076738
none,53,0.18027210884353742,364,0.24812542603953647,0.7265362188831577
smoteenn,53,0.18027210884353742,368,0.250852079072938,0.7186390860692102
