config_name,GaussianNB,KNeighborsClassifier,LinearDiscriminantAnalysis_svd,LogisticRegression,QuadraticDiscriminantAnalysis,RandomForestClassifier,SVC_linear
config_kfold,0.6980975669402238,0.6880181249849819,0.7386671532233686,0.7421962766891103,0.6634752138598483,0.706207840157701,0.725719365246276
config_loo,0.6933391166821737,0.686428287002594,0.7386828017903904,0.7428010711620681,0.6675653832557038,0.7039143836733253,0.7222752727943043
config_random80,0.696814798398978,0.6961866125250077,0.7426549526635059,0.7469660018751534,0.6710783749884707,0.7001263485205462,0.7286202164325519
config_strat80,0.7083607189911538,0.68174365745969,0.7415286404416839,0.7399300248865466,0.6679077001903089,0.7009903860900237,0.7266082669343539
