dataset_variant,none,smote,smoteenn,undersample
IMPUTED,0.3564158019878426,0.40104889448075853,0.38879775548354806,0.407044999020923
STRICT,0.3641300031311632,0.3965473219612205,0.38543341190597974,0.3976729185392469
