model_key,best_level,best_mean,best_std,best_count,worst_level,worst_mean,worst_std,worst_count,delta_best_worst
SVC_linear,standard,0.4751482677259663,0.1267676016215163,80817,maxabs,0.3802049127342351,0.22126952114099843,80203,0.09494335499173118
QuadraticDiscriminantAnalysis,standard,0.3631300624037082,0.12002068672613113,43296,maxabs,0.2870947318807269,0.17097646343179423,43216,0.07603533052298128
LogisticRegression,standard,0.48863009132973434,0.11674005308721166,86592,maxabs,0.42083543777601956,0.17093124217464903,86540,0.06779465355371478
KNeighborsClassifier,none,0.38231720006036973,0.1108131960420508,28809,robust,0.33413689892040593,0.1306059266425587,230461,0.0481803011399638
LinearDiscriminantAnalysis_svd,standard,0.47201293323651045,0.11966968828569124,14432,robust,0.4397497177161448,0.14533305482240136,14432,0.03226321552036565
GaussianNB,standard,0.4039702650038944,0.12375327724576042,38197,maxabs,0.37625739764538196,0.13464515735375016,38198,0.027712867358512416
RandomForestClassifier,maxabs,0.4026756856239689,0.11018897389772316,114510,none,0.39581922537280884,0.11264691332786315,114710,0.006856460251160046
