pca,accuracy_mean,accuracy_std,accuracy_median,accuracy_count,precision_mean,precision_std,precision_median,precision_count,recall_mean,recall_std,recall_median,recall_count,f1_mean,f1_std,f1_median,f1_count,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_median,balanced_accuracy_count,mcc_mean,mcc_std,mcc_median,mcc_count
off,0.7284260272451442,0.06812426093787276,0.7333333333333333,705226,0.5352933922999866,0.12155558613827272,0.5333333333333333,705201,0.6461219098376656,0.15294061284813865,0.6611111111111111,705226,0.5615338519027905,0.09495837838427557,0.5714285714285714,705226,0.7039886527745377,0.06445693847123624,0.7063492063492063,705226,0.39601368434843764,0.12168502787017596,0.4006286604738004,705201
on,0.7163608500874649,0.07843835582119028,0.7229885057471265,1295362,0.5090557083450209,0.13141873758682335,0.503030303030303,1295208,0.675234554791214,0.19031988327695432,0.6923076923076923,1295362,0.5567990176205316,0.12452313829507536,0.5714285714285714,1295362,0.7045681391085497,0.08159562463864803,0.7083333333333333,1295362,0.38929778667962067,0.1495744020754354,0.3957941124357018,1295208
