rank,config_name,mcc_mean,mcc_std,mcc_median,mcc_count,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_median,balanced_accuracy_count,f1_mean,f1_std,f1_median,f1_count,recall_mean,recall_std,recall_median,recall_count,precision_mean,precision_std,precision_median,precision_count,accuracy_mean,accuracy_std,accuracy_median,accuracy_count
1,config_strat80,0.39542223394058695,0.17488101199772801,0.4075500715665535,511720,0.7019103915740238,0.09117418641149315,0.7028985507246377,511720,0.5708088502952908,0.13155613280079123,0.5833333333333334,511720,0.658319219712169,0.20022679094529963,0.6666666666666666,511720,0.539932988054285,0.15484344088035953,0.5,511720,0.7199454902094895,0.08995943125524625,0.71875,511720
2,config_kfold,0.3946528908896072,0.09361228143539545,0.4012344073380001,944152,0.7041950045175273,0.05243928356538519,0.7075937950937952,944152,0.560954374972039,0.08719570540398097,0.5720512820512821,944152,0.6607924165459235,0.14594914518195354,0.68,944152,0.5243511858493759,0.08599261009612202,0.5256526806526807,944152,0.7231336868814059,0.05056853323945733,0.7301149425287357,944152
3,config_loo,0.3840254898188391,0.09092691479527308,0.3883706421168291,39610,0.7022462016136388,0.054652397568609325,0.7059748427672956,39789,0.5628731661306916,0.08414000311043687,0.5739130434782609,39789,0.6614759825162371,0.14752232886571537,0.6818181818181818,39789,0.5116723663763831,0.07249495886874019,0.5084745762711864,39610,0.7202329536939708,0.05059429309158775,0.725,39789
4,config_random80,0.38287083571077574,0.17311063299492113,0.3829708431025352,504927,0.7073329686390472,0.0952170192266462,0.7102272727272727,504927,0.5409651315657182,0.14002084982242655,0.5555555555555556,504927,0.6798053831633438,0.20949180895708103,0.7,504927,0.4856016603115173,0.15939654347914056,0.5,504927,0.7166097772549299,0.0958352955704105,0.71875,504927
