model_key,none,smote,smoteenn,undersample
GaussianNB,0.6554614130989662,0.7081317584104677,0.6956155419005314,0.7177046987853135
KNeighborsClassifier,0.6460739772636227,0.6841049501756287,0.6971702581120172,0.7007726759193899
LinearDiscriminantAnalysis_svd,0.6839873324662098,0.7531297473012368,0.7381314600145893,0.7473434285304409
LogisticRegression,0.7031500062973606,0.7532390893088007,0.7410040684824637,0.74545765197823
QuadraticDiscriminantAnalysis,0.6176427060306463,0.6713646861166225,0.6617107906343018,0.6908354317102077
RandomForestClassifier,0.68467526530448,0.7075069613994327,0.6969401993276052,0.7158151239045215
SVC_linear,0.6380079157431443,0.7409032482750418,0.7384175389165258,0.7188520726827995
