dataset_variant,config_name,model_class,scaler,resampling,pca,mean,std,count,generalization_score,range,cv_ratio
STRICT,config_kfold,LogisticRegression,standard,smoteenn,on,0.4990323611864097,0.054024242482644494,6720,0.4450081187037652,0.38882406037970335,0.10825799423950415
STRICT,config_kfold,LogisticRegression,robust,smote,off,0.48739460115742667,0.04253399354363425,960,0.4448606076137924,0.242183867149244,0.08726808512574379
STRICT,config_kfold,SVC,none,smoteenn,off,0.4921326176668983,0.048458904283171816,900,0.4436737133837265,0.253412459717642,0.09846716625470942
STRICT,config_kfold,LinearDiscriminantAnalysis,standard,smote,on,0.499818526360788,0.056289192019193926,1120,0.4435293343415941,0.30914800042715845,0.1126192588919008
STRICT,config_kfold,LogisticRegression,standard,undersample,off,0.4862111717375059,0.04335565661210727,480,0.4428555151253986,0.22817823517013053,0.08917042456505705
STRICT,config_kfold,LogisticRegression,robust,undersample,off,0.48322894545798134,0.04050004414584269,480,0.44272890131213866,0.24984652127341928,0.0838112959219748
STRICT,config_loo,LogisticRegression,none,none,off,0.46293126235412513,0.021285423092609845,12,0.4416458392615153,0.06638473814450102,0.04597966225993891
STRICT,config_kfold,LogisticRegression,standard,smoteenn,off,0.4877855940602911,0.04806253234359219,960,0.4397230617166989,0.265263259878669,0.09853208649218857
IMPUTED,config_kfold,LogisticRegression,none,smote,off,0.47006499376035527,0.030437801496364048,960,0.4396271922639912,0.172652895314371,0.06475232553028955
IMPUTED,config_loo,LinearDiscriminantAnalysis,maxabs,smote,on,0.47149487689455355,0.03218411108935313,56,0.4393107658052004,0.12592133096128183,0.06825972596209327
STRICT,config_loo,SVC,maxabs,smote,off,0.47078439233950076,0.03170149491078279,36,0.439082897428718,0.11444246452663787,0.06733760809963646
IMPUTED,config_kfold,SVC,standard,undersample,on,0.4856213754879207,0.04688491526635307,2842,0.43873646022156765,0.3572679900161309,0.09654623464472947
IMPUTED,config_kfold,SVC,standard,smote,off,0.47387209436541766,0.035373162858346456,812,0.4384989315070712,0.19239633158323838,0.07464706885877331
STRICT,config_loo,GaussianNB,none,undersample,off,0.4375871418875155,0.0,6,0.4375871418875155,0.0,0.0
IMPUTED,config_loo,LogisticRegression,standard,undersample,on,0.4713939394893749,0.0340305684026025,168,0.4373633710867724,0.15340818099689718,0.07219135748640557
IMPUTED,config_kfold,SVC,robust,smote,off,0.4743655971604155,0.03706871803869342,800,0.43729687912172205,0.20252442639550722,0.07814377404387937
IMPUTED,config_loo,LogisticRegression,none,smote,off,0.45818101256546107,0.021013245524691377,48,0.4371677670407697,0.06625220679442012,0.04586232285583677
STRICT,config_loo,SVC,standard,smote,off,0.4567083005972452,0.01972941410119129,34,0.43697888649605393,0.06575535170507169,0.04319915813965018
IMPUTED,config_loo,SVC,standard,smoteenn,on,0.47440558841381253,0.03745691078279743,229,0.4369486776310151,0.18276214806937324,0.07895545857298095
STRICT,config_kfold,LogisticRegression,standard,none,off,0.48001573336606695,0.04306750888109295,240,0.436948224484974,0.19495387042296275,0.08972103597331266
STRICT,config_kfold,SVC,standard,smote,on,0.4929414406101733,0.05621192636106942,6300,0.4367295142491039,0.33623106410471226,0.11403367972367896
STRICT,config_loo,LogisticRegression,standard,smoteenn,off,0.4686155890742656,0.032369312844420094,48,0.4362462762298455,0.11390268326417657,0.06907434067305483
