scenario,mean_accuracy,std_accuracy,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1,mean_bacc,std_bacc,mean_mcc,std_mcc,mean_roc_auc,std_roc_auc,mean_pr_auc,std_pr_auc
full,0.77,0.05204625116698032,0.7177585377585378,0.17388916898979415,0.44814814814814813,0.14140128650667025,0.5297850552726714,0.1261759756522093,0.6780423280423281,0.06566755083231603,0.4208467697774807,0.1398388600086939,0.7968253968253969,0.07414701754233873,0.6793000428202626,0.07805950765090201
no_lipid,0.6677777777777777,0.04671863554052964,0.1827777777777778,0.2912347650573901,0.059259259259259255,0.08623101691792899,0.08556887556887556,0.12335036764905463,0.49391534391534386,0.04705390485117832,-0.023574513487227357,0.1567193448190615,0.5906525573192241,0.11252678331488591,0.43555813431296947,0.10841349348089169
no_tc,0.7622222222222222,0.05655047813473311,0.6936580086580086,0.18192061273148963,0.42962962962962964,0.14215196221099824,0.5118547121952695,0.13225943022575976,0.6671957671957672,0.07162392956636815,0.39596321357155506,0.15603316298313355,0.7857142857142858,0.07471960490980904,0.6418436703698428,0.0995789152652281
