scenario,display_name,dataset,cv,roc_auc,pr_auc,prevalence,threshold,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,fpr,f1,mcc,tn,fp,fn,tp
BEST_OVERALL,Robust selected model,IMPUTED,repeated_stratified_holdout,0.7691545893719807,0.5209659614254426,0.28125,0.6,0.7453125,0.7078502415458937,0.5410628019323671,0.6222222222222222,0.7934782608695652,0.20652173913043478,0.5788113695090439,0.39954580638779624,365,95,68,112
IMPUTED,IMPUTED,IMPUTED,repeated_kfold,0.8011750587774293,0.5728274874436052,0.275,0.6,0.7728125,0.7406935736677116,0.5746341463414634,0.6693181818181818,0.8120689655172414,0.1879310344827586,0.6183727034120735,0.4606682234175964,1884,436,291,589
STRICT,STRICT,STRICT,repeated_kfold,0.8202751572327045,0.6298518198175669,0.28378378378378377,0.6,0.7817567567567567,0.7509658580413298,0.6023206751054853,0.6797619047619048,0.8221698113207547,0.17783018867924527,0.6387024608501118,0.4849914198326639,1743,377,269,571
