fold_id,feature,label,base_mcc,mean_decrease_mcc,std_decrease_mcc
1,Age,Age,0.47797332354820327,0.0,0.0
1,Weight,Weight,0.47797332354820327,0.11113456397526651,0.06775386554438723
1,Height,Height,0.47797332354820327,0.036488737164874406,0.037441917516163235
1,BMI_final,BMI,0.47797332354820327,0.30234242006382345,0.1349147022472917
1,Glycemia,Glycemia,0.47797332354820327,0.005267684587577748,0.016073211003400402
1,SBP_1T,SBP 1T,0.47797332354820327,0.09039738574823779,0.11337221081794217
1,DBP_1T,DBP 1T,0.47797332354820327,-0.03619131794418508,0.08023519979082525
1,TC_1T,TC 1T,0.47797332354820327,0.3254504709880235,0.17046898208381717
1,TG_1T,TG 1T,0.47797332354820327,0.10700579981957443,0.07068861257835493
1,HDL_1T,HDL-C 1T,0.47797332354820327,0.028704389930409316,0.05086220047063543
1,LDL_1T,LDL-C 1T,0.47797332354820327,0.03638273312065867,0.11402786641127736
2,Age,Age,0.2789579047098707,-0.06253941461275206,0.09806798817964707
2,Weight,Weight,0.2789579047098707,0.15235285023514164,0.09391539002790375
2,Height,Height,0.2789579047098707,0.07611009420068039,0.12462848869456836
2,BMI_final,BMI,0.2789579047098707,-0.08761092382961773,0.09059427101983202
2,Glycemia,Glycemia,0.2789579047098707,0.052427041488216884,0.05675594996763195
2,SBP_1T,SBP 1T,0.2789579047098707,-0.04401491987984981,0.134909726102082
2,DBP_1T,DBP 1T,0.2789579047098707,-0.06992939446654459,0.06846314246982774
2,TC_1T,TC 1T,0.2789579047098707,0.4166134155434837,0.16277051098311607
2,TG_1T,TG 1T,0.2789579047098707,-0.02043691607635624,0.12240389719970571
2,HDL_1T,HDL-C 1T,0.2789579047098707,-0.1555863777070236,0.10546737900111687
2,LDL_1T,LDL-C 1T,0.2789579047098707,-0.08129985810270944,0.10454297046239557
3,Age,Age,0.5691908489504616,0.0,0.0
3,Weight,Weight,0.5691908489504616,0.06123484803253444,0.06919181033241623
3,Height,Height,0.5691908489504616,0.011341633266832721,0.019129498096814135
3,BMI_final,BMI,0.5691908489504616,0.1305987989792205,0.11171296941349554
3,Glycemia,Glycemia,0.5691908489504616,0.0,0.0
3,SBP_1T,SBP 1T,0.5691908489504616,0.07612346303545753,0.08859196526841
3,DBP_1T,DBP 1T,0.5691908489504616,0.0,0.0
3,TC_1T,TC 1T,0.5691908489504616,0.4789567586670923,0.15150720699719086
3,TG_1T,TG 1T,0.5691908489504616,0.04699493982402794,0.08671868961824823
3,HDL_1T,HDL-C 1T,0.5691908489504616,0.0,0.0
3,LDL_1T,LDL-C 1T,0.5691908489504616,0.0,0.0
4,Age,Age,0.38164251207729466,-0.019030146923390983,0.05310363473126503
4,Weight,Weight,0.38164251207729466,-0.0032110270490302868,0.017587519475131347
4,Height,Height,0.38164251207729466,0.0686520452239218,0.09768276462175571
4,BMI_final,BMI,0.38164251207729466,0.13349990051925917,0.10044876811364331
4,Glycemia,Glycemia,0.38164251207729466,-0.03853232458836344,0.047999030779810575
4,SBP_1T,SBP 1T,0.38164251207729466,0.007211059236496691,0.11294101274649587
4,DBP_1T,DBP 1T,0.38164251207729466,0.041415397586528346,0.08259522807868598
4,TC_1T,TC 1T,0.38164251207729466,0.3364914723718044,0.17760942939018154
4,TG_1T,TG 1T,0.38164251207729466,0.01903517116656233,0.11835147792325125
4,HDL_1T,HDL-C 1T,0.38164251207729466,-0.03493823627722271,0.06482086953173691
4,LDL_1T,LDL-C 1T,0.38164251207729466,0.013726383544039397,0.050446548439389984
5,Age,Age,0.647150228929434,0.11801731045640337,0.07130801277441264
5,Weight,Weight,0.647150228929434,0.45816128668766176,0.10827969013591657
5,Height,Height,0.647150228929434,0.3825722843567132,0.17097411365118403
5,BMI_final,BMI,0.647150228929434,0.3643603070657514,0.11257706424606317
5,Glycemia,Glycemia,0.647150228929434,0.15687408184264603,0.1152194300062242
5,SBP_1T,SBP 1T,0.647150228929434,0.38671744980974915,0.09098898839334361
5,DBP_1T,DBP 1T,0.647150228929434,0.11820496853566359,0.05457023611156393
5,TC_1T,TC 1T,0.647150228929434,0.7319044572526916,0.13262703462833716
5,TG_1T,TG 1T,0.647150228929434,0.3496608246537109,0.09714534032319977
5,HDL_1T,HDL-C 1T,0.647150228929434,0.17789965420678439,0.1071973209269662
5,LDL_1T,LDL-C 1T,0.647150228929434,0.18968944945677008,0.054574736752318144
